Travel_Time_Code,County_Code,Mpo_Code
104+05107,36101,
104-05111,36013,
104-05112,36013,
104+05112,36013,
104-05113,36013,
104+05113,36013,
104-05114,36013,
104+05114,36013,
104-05115,36013,
104+05115,36013,
104-05116,36013,
104+05116,36013,
104-05117,36029,
104+05117,36013,
104-05118,36101,
104-05119,36101,
104+05119,36101,
104-05120,36101,
104+05120,36101,
104-05121,36101,
104+05121,36101,
104-05122,36051,
104+05122,36101,
104-05123,36051,
104+05123,36051,
104-05124,36051,
104+05124,36051,
104-05125,36051,
104+05125,36051,
104-05126,36051,36197700
104+05126,36051,
104-05127,36051,36197700
104+05127,36051,36197700
104-05128,36055,36197700
104+05128,36051,36197700
104-05129,36075,36196500
104+05129,36067,36196500
104-05130,36075,36196500
104+05130,36075,36196500
104-05131,36075,36196500
104+05131,36075,36196500
104-05132,36007,36197402
104-05133,36007,36197402
104+05133,36007,36197402
104-05134,36007,36197402
104+05134,36007,36197402
104-05135,36007,
104+05135,36007,36197402
104-05136,36007,
104+05136,36007,
104-05137,36007,
104+05137,36007,
104-05138,36017,
104+05138,36007,
104-05139,36017,
104+05139,36017,
104-05140,36017,
104+05140,36017,
104+05141,36017,
104-05243,36055,36197700
104-05244,36055,36197700
104+05244,36055,36197700
104-05245,36055,36197700
104+05245,36055,36197700
104-05246,36055,36197700
104+05246,36055,36197700
104-05247,36055,36197700
104+05247,36055,36197700
104-05248,36055,36197700
104+05248,36055,36197700
104-05249,36055,36197700
104+05249,36055,36197700
104+05250,36055,36197700
104-05251,36037,
104+05251,36037,
104-05252,36037,
104+05252,36037,
104-05253,36037,
104+05253,36037,
104-05254,36037,
104+05254,36037,
104-05255,36037,
104+05255,36037,
104-05256,36037,
104+05256,36037,
104-05257,36037,
104+05257,36037,
104-05258,36037,
104+05258,36037,
104-05259,36037,
104+05259,36037,
104-05260,36037,
104+05260,36037,
104-05261,36037,
104+05261,36037,
104-05262,36037,
104+05262,36037,
104-05263,36037,
104+05263,36037,
104-05264,36051,
104+05264,36037,
104-05265,36051,
104+05265,36051,
104-05266,36051,36197700
104+05266,36051,
104-05267,36051,36197700
104+05267,36051,36197700
104-05268,36051,36197700
104+05268,36051,36197700
104-05269,36051,36197700
104+05269,36051,36197700
104-05270,36051,36197700
104+05270,36051,36197700
104-05271,36051,36197700
104+05271,36051,36197700
104-05272,36051,36197700
104+05272,36051,36197700
104-05273,36069,36197700
104+05273,36051,36197700
104-05274,36069,36197700
104+05274,36069,36197700
104-05275,36069,36197700
104+05275,36069,36197700
104-05276,36069,36197700
104+05276,36069,36197700
104-05277,36069,36197700
104+05277,36069,36197700
104-05278,36069,36197700
104+05278,36069,36197700
104-05279,36069,36197700
104+05279,36069,36197700
104-05280,36069,36197700
104+05280,36069,36197700
104-05281,36069,36197700
104+05281,36069,36197700
104-05282,36069,36197700
104+05282,36069,36197700
104-05283,36069,36197700
104+05283,36069,36197700
