tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120-15255,1.2623,1.21769,1.20769,1.30159
120-15256,1.39583,1.3224,1.33544,1.42953
120-15257,1.27979,1.23346,1.22374,1.33333
120-15258,1.32432,1.23116,1.27647,1.42466
120-15259,1.49057,1.30864,1.22581,1.54098
120+15264,1.37278,1.30303,1.27225,1.32558
120+15265,1.23077,1.19691,1.22128,1.32143
120+15266,1.64286,1.48571,1.5,1.58621
120-15267,1.33884,1.34932,1.368,1.48305
120-15268,1.31111,1.25773,1.30769,1.37179
120-15269,1.42424,1.30952,1.40476,1.34375
120-15270,1.4375,1.31818,1.35556,1.36364
120-15271,1.46667,1.30435,1.36,1.38889
120-15272,1.30093,1.19937,1.22126,1.30041
120-15273,1.4375,1.42105,1.33333,1.33333
120-15274,1.44444,1.28571,1.30769,1.34375
120+15277,1.28571,1.30088,1.30392,1.3125
120+15278,1.75,1.28571,1.6,1.66667
120+15279,1.55224,1.35106,1.47826,1.52
120+15280,1.38961,1.37234,1.54762,1.55556
120+15281,1.58333,1.42553,1.41026,1.73684
120+15282,1.40909,1.36,1.33333,1.36
120+15283,1.33679,1.28899,1.18343,1.26455
120+15284,1.35714,1.4,1.35714,1.54545
120+15285,1.38462,1.32143,1.41667,1.38095
120-15286,1.30769,1.32143,1.37037,1.54167
120-15287,1.34783,1.3913,1.52632,1.52941
120+15287,1.44737,1.57895,1.55263,1.57895
120+15288,1.84211,1.72131,1.74667,2
120-15290,1.16667,1.16667,1.27273,1.33333
120-15291,1.32479,1.30081,1.35833,1.5
120+15291,1.80952,1.45,1.72222,1.42857
120+15293,1.35714,1.41667,1.22222,1.45455
120+15294,1.52632,1.5,1.4,1.5
120+15295,1.4375,1.33333,1.31818,1.31818
120-15302,1.41892,1.4125,1.44444,1.41538
120-15303,1.39286,1.27273,1.34483,1.33333
120+15303,1.47826,1.31707,1.33784,1.31818
120-15304,1.37647,1.26829,1.28571,1.33562
120+15304,1.27778,1.375,1.33333,1.27869
120-15305,1.41935,1.31081,1.32812,1.44231
120+15305,1.25806,1.21393,1.22051,1.20359
120-15306,1.30612,1.192,1.23585,1.33673
120+15306,1.20619,1.14019,1.19091,1.20619
120-15307,1.44828,1.20472,1.35106,1.5679
120+15307,1.22,1.30252,1.20721,1.25773
120-15308,1.49351,1.46667,1.36471,1.56061
120+15308,1.23684,1.47115,1.34314,1.41772
120-15309,1.33333,1.38158,1.39344,1.4902
120+15309,1.32051,1.2623,1.39773,1.62105
120-15310,1.26667,1.30769,1.29412,1.39706
120+15310,1.30263,1.35294,1.36,1.38158
120-15311,1.29851,1.38806,1.43333,1.59259
120+15311,1.31944,1.28571,1.26829,1.39773
120+15312,1.43333,1.40845,1.3871,1.43333
120+15313,1.6087,1.42308,1.43478,1.42308
120+15322,1.43182,1.43902,1.64706,1.51613
120+15323,1.33333,1.34043,1.54054,1.4
120+15324,1.61905,1.5,1.91304,1.5
120-15327,1.5,1.38462,1.33333,1.33333
120-15328,1.5625,1.5625,1.5641,1.575
120+15328,1.59375,1.5,1.5,1.45833
120-15329,1.36145,1.27072,1.32639,1.40441
120+15329,1.5,1.625,1.56818,1.64865
120-15330,1.25,1.28502,1.25967,1.34503
120+15330,1.25131,1.27619,1.33508,1.37805
120-15331,1.2439,1.27273,1.22727,1.36364
120+15331,1.30435,1.23552,1.29688,1.35519
120-15332,1.29293,1.42991,1.29474,1.29474
120+15332,1.45714,1.35294,1.28571,1.5
120-15333,1.29703,1.25225,1.32967,1.24752
120+15333,1.47826,1.20588,1.35398,1.39773
120-15334,1.26786,1.16393,1.36538,1.24561
120+15334,1.32895,1.28723,1.22772,1.40698
120+15336,1.875,1.45455,1.66667,1.875
120-15340,1.5,1.37705,1.42373,1.58491
120-15341,1.375,1.27368,1.37975,1.49254
120+15341,1.71429,1.61538,1.61538,1.5
120-15342,1.40179,1.24444,1.37273,1.40625
120-15343,1.38265,1.33333,1.33188,1.44444
120-15344,1.45946,1.35256,1.45968,1.45946
120+15344,1.52542,1.45556,1.57317,1.67143
120+15345,1.30645,1.29496,1.2782,1.325
120-15346,1.51852,1.61111,1.55769,1.65306
120-15347,1.59459,1.47619,1.40476,1.59459
120-15348,1.79167,1.79167,1.5,1.79167
120-15349,2.09524,1.87234,1.76,1.84615
120-15356,1.2716,1.38636,1.34568,1.28395
120-15357,1.30769,1.25,1.25926,1.36
120+15363,1.6875,1.59016,1.5625,1.53704
120-15368,1.25455,1.32727,1.47761,1.34932
120-15369,1.14205,1.18354,1.33793,1.25
120+15369,1.46825,1.27586,1.27322,1.43357
120-15370,1.16848,1.21622,1.28105,1.30818
