tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120N22236,2,2,2,3
120N22256,1.75,1.75,1.8,1.8
120N22271,1.4,1.33333,1.16667,1.16667
120N22272,2.33333,1.66667,2.33333,1.66667
120N22286,1.16667,1.16667,1.16667,1.16667
120N22337,1.6,1.4,1.4,1.4
120N22346,1.5,2,2,2
120N22395,1.31579,1.16667,1.15789,1.11765
120N22399,1.27273,1.4,1.2,1.36364
120N22434,2,2,2,2
120N22437,1.45455,1.36364,1.36364,1.5
120N22466,1.47222,1.44118,1.36111,1.4375
120N22470,,,1,
120N22567,1.5,1.4,1.61111,1.53846
120N22689,1.42857,1.4,1.46667,1.5
120N22762,1.375,1.42857,1.42857,1.5
120N22764,1.18182,1.18182,1.18182,1.2
120N22842,1,1,3,2
120N22907,3,1.25,2.5,2.5
120N22933,1,1.5,1.5,1
120N23005,2,2,2,3
120N23043,2,1.66667,1.90909,2
120N23056,1.66667,2,1.75,1.66667
120N23057,1,1.33333,1,1
120N23094,1.3913,1.44,1.44,1.52381
120N23100,,1,1,
120N23105,1.91667,1.76923,2.07692,2
120N23112,1.34783,1.30435,2,1.21053
120N23141,1.33333,1.28571,1.375,1.375
120N23250,1.75,2,2.5,1.75
120N23276,1.85714,2.07143,2,2.36364
120N23329,1.2,1.2,1,1.2
120N23368,1.23529,1.23529,1.17647,1.23529
120N23383,2,2,3,3
120N23459,1.5,1.5,2,2
120N23538,1.7931,2,1.73333,1.85714
120N24585,1.08824,1.08824,1.11765,1.11765
120N24589,1.92857,1.53846,1.71429,1.57143
120N24602,1.71429,1.71429,1.75,2
120N24609,1.33333,1.33333,1.66667,2
120N24610,1.57143,1.5,1.8,1.6
120N24622,1.66667,2,1.5,1.5
120N24625,1.5625,1.44444,1.42105,1.31579
120N24638,1,2,1,4
120N24648,1.125,1.25,1.125,1.28571
120N24651,1.66667,1.66667,1.5,1.5
120N24658,1.72727,1.6875,1.875,1.8
120N24660,2,1.84615,1.83333,2
120N24664,1.5,1.5,1.85714,1.5
120N24668,1.66667,1.42857,1.83333,2
120N24670,1.3,1.37931,1.41935,1.53846
120N24671,2,3,2,2
120N24685,2,2,2,2
120N24689,1.91304,1.76,1.64706,1.90476
120N24690,1.57143,1.6,1.8,1.53846
120N24699,1.5,1.42105,1.58824,1.23529
120N24700,1.71429,1.71429,1.57143,1.71429
120N24866,1,5,3,1.5
120N24876,1,2,2,2
120N24887,1,1.5,1.5,2
120N24903,1.46154,1.3913,1.57692,1.3913
120N24934,1.69231,1.46154,1.76923,1.72727
120N24938,1.5,1.66667,2,1.4
120N24939,1.5,1.5,2,1.5
120N25139,1.58824,1.4,1.36111,1.67647
120N25154,1.625,1.45833,1.59259,1.5
120N25335,2,3,2,2
120N25339,1.91667,1.91667,1.6875,1.8
120N25342,2.25,2.2,2.2,2.4
120N25344,1.5,2,2,2
120N25345,1.5,1.5,2,1.66667
120N25366,1.66667,1.33333,1.66667,1.66667
120N25379,1.2381,1.2381,1.21951,1.225
120N25380,1.35714,1.21429,1.23077,1.23077
120N25389,1.30769,4.66667,4.33333,4.33333
120N25393,2.15385,1.5,1.45455,1.4
120N25396,1.83333,2,1.86667,2
120N25398,1.45,1.4359,1.48485,1.42857
120N25402,3,2,2,2
120N25404,1.82353,1.5,1.82353,1.88235
120N25414,1.6,1.8,2,1.8
120N27984,1.07692,1.12658,1.16456,1.11842
120N27986,1.11688,1.11688,1.09722,1.11594
120N28012,1,1.1,2,1.1
120N28013,1.1,1.1,1.75,1.1
120N28017,1.5,1.5,1.85714,1.5
120N28018,1.33333,1.33333,1.33333,3
120N28912,1.5,3.25,2.71429,1.26923
120N29402,1.32432,1.32432,1.27778,1.43243
120N29403,1.5,1.14286,1.25,1.14286
120N29404,1.5,1,1.42857,1
120N29405,2.74074,1.12,2.28571,1.08333
120N29678,2,2.16667,2.16667,2.14286
120N29704,3.33333,2.33333,3,2.8
120N29714,1.85714,1.85714,2.11765,1.85714
120N29721,1.5,1.625,2.375,2.25
120N29827,2,2,2.5,2.5
120N29833,1.14286,1.14286,1.14286,1.14286
120N29839,1.65,1.63158,1.5,2
120N29843,1.2,1.21739,1.26087,1.24444
120N29844,1.25,1.375,1.375,1.375
120N30176,1.25,1.25,1.25,1.66667
120N30181,1.16667,1.16667,1.41667,1.16667
120N30182,1.375,1.3125,1.4,1.31579
120N30184,1.5,1.5,1.70588,1.46154
120N30185,1.21053,1.22222,1.16667,1.17647
120N30194,1.66667,1.66667,1.33333,1.33333
120N30195,2,2,1.5,1.5
120N30203,1,1.33333,1,1.2
120N30521,1.23529,1.22857,1.23684,1.30556
120P04098,1.07143,1.14286,1.15385,1.07692
120P04099,1.2,1.09091,1.1,1.1
120P04100,1.125,1.125,1.125,1.13333
120P04101,1.1875,1.25,1.4375,1.2
120P04102,1.16667,1.16667,1.16667,1
120P04105,1.03922,1.03922,1.05882,1.06
120P04106,1,1,1.04762,1.05
120P04107,1.02857,1.02857,1.02857,1.02857
120P04108,1.04545,1.04545,1.04545,1.04545
120P04110,1.07143,1.07143,1.07143,1.07143
120P04111,1.05556,1.05556,1.05556,1.05882
120P04112,1.14286,1,1.14286,1.14286
120P04113,1.10256,1.07692,1.10256,1.13158
120P04114,1.11111,1.11111,1.11111,1.11111
120P04115,1.05882,1.05882,1.05882,1.05882
120P04117,1,1,1.06667,1.06667
120P04118,1.11111,1.11111,1,1.11111
120P04121,1.05556,1.05556,1.05556,1.11111
120P04122,1.0625,1.0625,1.0625,1.0625
120P04123,1.04,1.04,1.04082,1.02041
120P04124,1.04255,1.02128,1.04348,1.04348
120P04125,1,1,1,1
120P04126,1,1,1,1
120P04127,1,1.03704,1,1.03704
120P04128,1.02,1.04,1.04082,1.04082
120P04129,1,1.04348,1.04348,1.04348
120P04130,1.04348,1.04348,1.04348,1.04348
120P04131,1.07609,1.08602,1.07778,1.08889
120P04133,1.08571,1.08333,1.11111,1.13514
120P04134,1.04,1.04,1.04,1.04
120P04135,1.05556,1.02778,1.02778,1.05556
120P04136,1.04545,1.04545,1.04545,1.04545
120P04137,1.0303,1.0303,1.0303,1.0303
120P04138,1.02778,1.02778,1.02778,1.02778
120P04139,1.03571,1.03571,1.03571,1.03571
120P04140,1.06667,1.06667,1.06667,1.06667
120P04141,1.0303,1.0625,1.0625,1.0625
120P04142,1.07143,1.07143,1.06667,1.07143
120P04162,1.08,1.08,1.08,1.08
120P04163,1.08333,1.04167,1.04167,1.04167
120P04164,1.07407,1.07692,1.07692,1.08
120P04165,1.08,1.04,1.12,1.08333
120P04166,1,1.03571,1.07143,1.03571
120P04167,1.05882,1.03922,1.98148,1.06
120P04168,1,1,1.2,1.07143
120P04169,1.08333,1.08333,1.07692,1.08333
120P04170,1,1,1.125,1.06667
120P04171,1,1,1.09091,1
120P04172,1.04762,1.04762,1.18182,1.05
120P04173,1.08571,1.08571,1.13158,1.11765
120P04174,1.33333,1.33333,1.33333,1
120P04175,1.08333,1.08333,1.25,1.09091
120P04177,1.1,1.09677,1.09375,1.1
120P04178,1.1,1.1,1.09677,1.10345
120P04179,1.11111,1.11111,1.2,1.11111
120P04180,1.11111,1.11111,1.44828,1.11111
120P04181,1.09524,1.06977,1.70833,1.09524
120P04182,1,1,1.22222,1
120P04183,1.11111,1.11111,1.11111,1.11111
120P04184,1.1,1.1,1.1,1.1
120P04185,1.14286,1.14286,1.14286,1.14286
120P04186,1.14286,1.14286,1.14286,1.14286
120P04187,1.16667,1.16667,1.16667,1.16667
120P04188,1.08,1.08,1.08333,1.08
120P04189,1.11111,1.11111,1.11111,1.11111
120P04190,1.10345,1.1,1.10345,1.1
120P04191,1.15385,1.15385,1.07692,1.15385
120P04192,1.3125,1.25,1.22222,1.38889
120P04193,1,1,1,1.1
120P04194,1.05263,1,1.05556,1.05556
120P04195,1.04545,1.04545,1.04545,1.09524
120P04196,1.04762,1.04762,1.04762,1.04762
120P04197,1.04348,1.04348,1.04545,1.09091
120P04199,1.07692,1,1.21429,1.07692
120P04200,1.0625,1.06122,1.17647,1.06383
120P04201,1.06897,1.06897,1.13333,1.07143
120P04202,1.0625,1.0625,1.125,1.0625
120P04203,1.05714,1.05556,1.05714,1.05714
120P04204,1.07143,1.07143,1.03571,1.07407
120P04205,1.09091,1.09091,1.09091,1
120P04206,1.09091,1.04348,1.09091,1.09091
120P04207,1.06667,1.06667,1.06897,1.06897
120P04208,1.05556,1.05556,1.05882,1.05882
120P04209,1,1,1.2,1.2
120P04210,1.08333,1.04,1.08333,1.08333
120P04227,1.09091,1.08333,1.08333,1.09091
120P04228,1,1.05556,1.05556,1.05882
120P04229,1,1.16667,1.16667,1
120P04230,1.03704,1.01818,1.03636,1.05769
120P04231,1.02941,1.02899,1.12857,1.0303
120P04232,1.02857,1.08571,1.2973,1.06061
120P04233,1.02564,1.025,1.71429,1.02632
120P04234,1.03704,1.05357,2.96923,1.03774
120P04235,1,1.6,1.63636,1
120P04236,1.09091,1.08333,1.56522,1.09091
120P04237,1.06897,1.16129,1.28571,1.07143
120P04238,1.03571,1.10345,1.11429,1.03704
120P04239,1.08,1.07692,1.14815,1.08696
120P04240,1.04762,1.04545,1.21739,1.05
120P04241,1.04545,1.04545,1.73913,1.04762
120P04242,1.04167,1.04,3.61538,1.04167
120P04243,1.04167,1.04167,1.68,1.08696
120P04244,1.05882,1.16667,2.66667,1.76471
120P04247,1.03448,1.06897,2.34286,1.07143
120P04248,1,1.10526,1.42857,1.05263
120P04249,1.05556,1.10526,1.39474,1.11111
120P04250,1.02564,1.075,1.3617,1.07692
120P04251,1,1.0625,1.11765,1.0625
120P04252,1,1,1.09091,1
120P04253,1.0625,1.0625,1.05882,1.0625
120P04255,1.02857,1.02857,1.02857,1.02941
120P04258,1.04762,1.04762,1.06977,1.07143
120P04260,1.08333,1.08333,1.08333,1.08333
120P04360,1.75,4.2,1.86667,1.25
120P04361,2.09091,2.35714,1.29688,2.84615
120P04362,2,1.87179,1.20091,3.53488
120P04363,1.23729,1.35897,1.29032,1.3871
120P04364,1.15,1.41667,1.44,1.26316
120P04365,1.08,3.45312,2.51948,1.14583
120P04367,1.08571,1.18824,1.56842,1.18571
120P04368,1.125,1.13333,1.57895,1.13333
120P04369,1.11111,1.14815,1.71875,1.15385
120P04370,1.10526,1.15789,1.18182,1.15789
120P04371,1.05263,1.05263,1.15,1.05556
120P04372,1.07143,1.07143,1.2,1.15385
120P04373,1.06667,1.1,1.125,1.10345
120P04374,1.04762,1.04762,1.09091,1.1
120P04375,1.04167,1.04167,1.08,1.04167
120P04376,1.04878,1.04878,1.07143,1.075
120P04377,1.0625,1.0625,1.05882,1.0625
120P04378,1.04762,1.04762,1.09524,1.09524
120P04379,1.03571,1.03571,1.07407,1.07407
120P04380,1.09091,1.09091,1,1
120P04381,1.05882,1.05882,1.05882,1.05882
120P04382,1.06667,1.06667,1.06667,1.06667
120P04385,1.05882,1,1.0625,1.0625
120P04386,1.02778,1.02857,1.02857,1.05882
120P04387,1.04167,1.04167,1.64,1.08696
120P04388,1.2,1.2,1.2,1.2
120P04389,1.0625,1.05882,1.05882,1.0625
120P04390,1.08,1.08,1.12,1.08
120P04391,1.08333,1.08333,1.08333,1.04167
120P04392,1.11111,1.11111,1.11111,1.11111
120P04393,1.125,1.09375,1.21212,1.09677
120P04394,1.08333,1.04167,1.08333,1.04348
120P04395,1,1,1.08333,1.09091
120P04396,1,1,1.25,1.33333
120P04397,1.05556,1.05263,1.26316,1.05556
120P04425,1.12,1.10417,1.08,1.08696
120P04427,1.08333,1.04167,1.08333,1.08696
120P04428,1.16667,1.16667,1.16667,1.16667
120P04429,1.13333,1.2,1.0625,1.13333
120P04430,1.18182,1.13636,1.26087,1.18182
120P04431,1.3125,1.375,1.44444,1.3125
120P04432,1.25,3.04762,2.51852,1.9
120P04433,1.91667,2.13333,1.5,2.23077
120P04434,2.3,2,1.5,2.5
120P04435,1.93333,1.44,1.35484,1.75
120P04436,1.46429,1.21053,1.38462,1.24324
120P04437,2,2,3,1
120P04438,1.08333,1.08333,1.16667,1.08333
120P04440,1.55556,1.05882,1.05882,1.11765
120P04441,2.8,1.10526,1.10526,1.52632
120P04442,2.11111,1.3125,1.3125,1.5625
120P04443,2.07143,1.16667,1.33333,1.25
120P04444,1.9375,1.33333,1.6875,1.71429
120P04445,1.83333,1.36364,1.5,1.45455
120P04446,2.05882,1.4,1.75,1.33333
120P04447,1.7619,1.78947,1.90476,1.77778
120P04448,1.175,1.25641,1.54762,1.18421
120P04449,1.10345,1.06897,1.16667,1.10714
120P04450,1.08696,1.06522,1.06522,1.06667
120P04451,1.04348,1.04348,1.04167,1.08696
120P04452,1.03846,1.03846,1.07692,1.07692
120P04453,1.07692,1.07692,1.03704,1.03704
120P04454,1,1,1,1
120P04741,1.11111,1.11111,1.11111,1
120P04742,1.09524,1.07317,1.075,1.10256
120P04743,1.08696,1.06667,1.06977,1.09524
120P04744,1.1,1.1,1.07895,1.10811
120P04745,1.06757,1.04,1.04167,1.07042
120P04746,,,,
120P04747,1.07692,1.03704,1.03846,1.03846
120P04748,1.09091,1.09091,1,1
120P04749,1.05263,1.05263,1.05405,1.08333
120P04750,1.125,1.13333,1.13333,1.2
120P04751,1.06667,1.06667,1.06667,1.07143
120P04752,1.1,1.05,1.1,1.05263
120P04753,1.17391,1.04348,1.13043,1.04545
120P04754,1.19048,1.1,1.2,1.05263
120P04755,1.05357,1.03571,1.05455,1.05769
120P04756,1.05714,1.02778,1.05714,1.09091
120P04757,1.04762,1.04762,1.1,1.05
120P04758,1,1,1,1
120P04759,1.19231,1.07692,1.07692,1.08
120P04760,1.21429,1.07143,1.07143,1.07692
120P04761,1.3125,1,1.06667,1.06667
120P04762,1.48276,1.07143,1.10714,1.07407
120P04763,1.87179,1.05263,1.13158,1.05556
120P04764,2.11864,1.05263,1.72414,1.05556
120P04765,2,1.03571,1.96552,1.07692
120P04794,1.6875,1.97368,1.44578,2.30556
120P04795,1.73239,2.2069,1.35,2.57692
120P04796,1.28571,1.40741,1.17722,1.42857
120P04797,1.33333,1.37037,1.18919,1.54545
120P04798,1.58333,1.27778,1.18182,1.53333
120P04799,1.16667,1.07692,1.23077,1.08333
120P04800,1.10714,1.06897,1.16667,1.11111
120P04801,1.06667,1.13333,1.1875,1.13333
120P04802,1.09091,1.09091,1.25,1.18182
120P04803,1.08824,1.08824,1.11429,1.15152
120P04804,1,1,1.33333,1.5
120P04805,2.81481,2.6,2.54098,2.82609
120P04806,1.18182,1.18182,1.125,1.18182
120P04807,1.11111,1.11111,1.11111,1.11111
120P04808,1.08333,1.08333,1.08333,1.09091
120P04809,1.1,1.1,1.04762,1.05263
120P04810,1.07143,1.07143,1.07143,1.07692
120P04811,1,1,1,1.09091
120P04812,1,1,1,1
120P04813,1.04762,1,1,1.05
120P04814,1.14286,1.14286,1,1
120P04815,1.14286,1,1,1
120P04817,1.04762,1.1,1.1,1.1
120P04818,1,1,1.07692,1.07692
120P04819,1.07692,1.07692,1.07692,1
120P04820,1.0625,1.03125,1.03226,1.03333
120P04821,1.23077,1.07692,1.07692,1.08333
120P04822,1.1875,1.0625,1.0625,1.06667
120P04823,1.6,1.04,1.04,1.08333
120P04864,1.04348,1.04348,1.04348,1.04545
120P04865,1,1,1,1
120P04866,,,,
120P04867,,,,
120P04868,1.03846,1.03846,1.03846,1.04
120P04869,1.05556,1.05556,1.05556,1.05882
120P04870,1.1,1.1,1.1,1.1
120P04871,1.04762,1.04762,1.07317,1.075
120P04872,1.04762,1.04762,1.04762,1.05
120P04873,1.0339,1.03333,1.05172,1.07018
120P04875,1.16667,1.16667,1.16667,1.16667
120P04876,1,1.04762,1.1,1.05
120P04877,1.03333,1.06667,1.03333,1.06897
120P04878,1,1.08333,1,1.09091
120P04879,1,1.06667,1.07143,1.07143
120P04880,1.25,1.16667,1.27273,1.2
120P04881,1.16667,1.08333,1.13636,1.14286
120P04882,3,1,1,1
120P04883,2.5,1.14286,1.11538,1.08
120P04884,2.52,1.72222,1.46667,1.30769
120P04887,1.09524,1.09524,1.09524,1.04762
120P04888,1.03125,1.03125,1.06452,1.06452
120P04889,1.05714,1.05714,1.05882,1.05882
120P04890,1.04412,1.04412,1.04478,1.06154
120P04891,1.04878,1.04878,1.04878,1.05128
120P04892,1.02222,1.04444,1.04444,1.06977
120P04893,1.04878,1.02381,1.04878,1.05
120P04894,1.04167,1.04167,1.04255,1.06667
120P04895,1.06522,1.02222,1.06818,1.04762
120P04896,1.36842,1.03636,1.03636,1.03846
120P04897,1,1,1,1
120P04899,1.3871,1,1.07143,1.03704
120P04900,1.85366,1.02632,1.05405,1.05714
120P04901,1.90909,1,1,1.11111
120P04902,1.7027,1.03226,1.06452,1.03333
120P04903,1.52174,1.02564,1.05128,1.02703
120P04904,1.55556,1,1.07407,1.04
120P04905,1.44,1.05556,1.16667,1.05882
120P04906,1.35,1.05882,1.41176,1.0625
120P04907,1.60241,1.04545,1.81159,1.04839
120P04909,2.63636,1.11111,1.11111,1.11111
120P04911,2.35714,1.03125,1.03125,1.06667
120P04912,1.43182,1.07143,1.07143,1.07692
120P04913,1.21429,1.04167,1.04167,1.04348
120P04914,1.08333,1.04545,1.04545,1.04762
120P04915,1.125,1,1.125,1.14286
120P04916,1.08824,1.0625,1.12121,1.03333
120P04917,1.84211,1.02778,1.81081,1.06061
120P04918,3.06977,1.05556,1.92308,1.02941
120P04919,3.33333,1.05882,2.31579,1.0625
120P04921,1.66129,1.0303,1.86486,1.06667
120P04922,1.25,1.25,1.5,1
120P04923,1.09091,1.05,1.1,1.05556
120P04924,1.06383,1.04545,1.06818,1.075
120P04925,1.32432,1.05714,1.05714,1.0303
120P04926,1.32941,1.4,2,1.34375
120P04928,1.25,1.15,1.44681,1.16667
120P04929,1.48148,1.11905,1.47826,1.15385
120P04930,1.22727,1.17647,1.30769,1.25
120P04931,1.14493,1.10938,1.88,1.13333
120P04932,1.51429,1.11765,2.44444,1.21875
120P04933,1.71642,1.15152,2.24731,1.25397
120P04934,2.97778,1.63636,1.57609,2.07143
120P04936,2.18519,1.75,1.475,1.80952
120P04937,1.6875,1.64286,1.30435,1.83333
120P04938,1.40351,1.46939,1.26761,1.79487
120P04939,1.2,1.26316,1.29167,1.47059
120P04940,1.74359,1.89744,1.32941,2.52632
120P04941,2.34615,1.85185,1.15686,2
120P04942,2.625,1.3125,1.58824,1.26667
120P04943,1.95833,1.60714,1.89474,1.78431
120P04944,1.71918,1.34783,1.67347,1.40476
120P04945,1.42,1.46667,1.60294,1.50943
120P04946,1.29496,1.12963,1.23214,1.1875
120P04947,1.28571,1.33333,1.71429,1.16667
120P04948,1.18333,1.25,1.42857,1.10526
120P04949,1.14894,1.33333,1.44444,1.11765
120P04950,1.16667,1.33333,1.33333,1.5
120P04953,1.25926,1.08,1.08696,1.08696
120P04954,1.38889,1.125,1.06667,1.06667
120P04978,1.08889,1.1087,1.10417,1.19565
120P04979,1.07692,1.08333,1.16667,1.18182
120P04980,1.13636,1.09756,1.2381,1.46154
120P04982,1.75,1.33333,1.4,1.5
120P04983,1.6,1.10714,1.58824,1.18519
120P04984,1.66667,1.10714,1.64706,1.14286
120P04985,2.525,1.08571,1.07692,1.09091
120P04986,4.35294,1.06667,1.06667,1.07143
120P04988,3.7931,1.125,1.125,1.0625
120P04990,2,1.05556,1.05556,1.11765
120P04992,2.05208,1.09756,1.07317,1.075
120P04993,1.63158,1.13333,1.06667,1.07143
120P04994,1.55,1.55556,1.11111,1.125
120P04995,1.45946,1.30769,1.12,1.08333
120P04996,1.40816,1.68421,1.47059,1.3125
120P04997,1.28261,1.94595,1.27273,1.33333
120P04998,1.33333,2,1.8,2.2
120P04999,1.13492,1.69444,2,1.85333
120P05000,1.16162,1.45455,1.40449,1.48352
120P05001,1.11765,1.32558,1.31373,1.33333
120P05002,1.18421,1.34286,1.31111,1.34091
120P05003,1.07692,1.23077,1.30769,1.08333
120P05004,1.07692,1.28571,1.61538,1.08333
120P05005,1.05556,2.90476,3.68182,1.05882
120P05006,1.14286,2.85,2.76,1.30769
120P05007,1.34783,1.64407,1.31111,3.14286
120P05008,1.96875,1.35227,1.23529,3.68966
120P05009,2.125,1.29268,1.19608,2.08333
120P05010,1.6,1.19298,1.19403,1.35185
120P05011,1.125,1.15385,1.30769,1.19048
120P05012,1.05882,1.16667,2.44444,1.0625
120P05013,1.08333,1.33333,1.92308,1.09091
120P05014,1.15385,1.23077,1.46154,1.09091
120P05015,1.17647,1.17647,1.44444,1.06667
120P05016,1.38889,1.23529,1.36111,1.09677
120P05017,1.58824,1.1875,1.1875,1.07143
120P05018,2.93333,1.23077,1.15385,1.08333
120P05020,1.57143,2.13636,1.7619,1.52381
120P05021,1.92308,2.13636,1.7,1.57143
120P05022,2.16667,1.8125,1.93333,1.33333
120P05023,1.95455,2.23,2.78947,2.13953
120P05024,1.59788,2.05096,2.02979,2.24219
120P05025,1.25,1.58974,1.69333,1.38235
120P05026,1.14706,1.97368,1.22772,1.3125
120P05027,1.2,2.3125,1.28571,1.93333
120P05028,1.10526,1.45,1.33333,1.22222
120P05029,1.09677,1.18182,1.15789,1.16667
120P05030,1.06977,1.06977,1.13333,1.075
120P05031,1.07937,1.07937,1.10938,1.08333
120P05032,1.06,1.06,1.06,1.08511
120P05033,1.2963,1.08,1.08696,1.08696
120P05034,1.65957,1.59459,1.15152,1.73529
120P05035,2,1.28571,1.09677,1.25806
120P05037,1.63265,1.5641,1.14706,1.72222
120P05038,2.81818,1.86207,1.8,2.67857
120P05039,1.50847,1.93478,1.75472,1.90909
120P05040,1.46154,1.76923,1.57143,1.64
120P05042,1.8,1.5,1.22222,1.3125
120P05043,2.07143,1.71429,1.27778,1.28571
120P05046,2.36364,1.20833,1.31034,2.5
120P05047,1.33333,1.25,1.25,1.66667
120P05049,1.11111,1.07407,1.14286,1.11538
120P05050,1.07692,1.10526,1.10526,1.11111
120P05051,1.15385,1.15385,1.15385,1.15385
120P05052,1.21429,1.2,1.16667,1.17391
120P05053,1.17857,1.14286,1.11111,1.28571
120P05055,2.55814,1.06667,1.1,1.06897
120P05056,1.09091,1.1,1.2,1
120P05057,1,1,1,1
120P05058,1.05882,1.125,1.11765,1.0625
120P05059,1.07895,1.07895,1.33333,1.11111
120P05060,1.10714,1.07143,1.1,1.11111
120P05061,1.17391,1.16667,1.13636,1.16
120P05062,1.18182,1.18182,1.1,1.09091
120P05063,1.14286,1.11628,1.125,1.14286
120P05064,1.15,1.15,1.15,1.2
120P05067,1.09524,1.09524,1.04348,1.09524
120P05068,1.10714,1.11111,1.10714,1.11538
120P05069,1.08333,1.08333,1.08333,1.09091
120P05070,1.24,1.08333,1.46154,1.08333
120P05071,1.61765,1.2,1.51282,1.36667
120P05072,1.27273,1.1,1.27273,1.3
120P05073,1.07692,1.07692,1.07143,1.07692
120P05075,1.09375,1.05882,1.08824,1.09375
120P05076,1.84,1.125,1.08,1.08333
120P05077,1.94737,1.05556,1.05556,1.05882
120P05078,2.4,1.07143,1.07143,1.07692
120P05079,1.8,1.05556,1.05556,1.05556
120P05080,1.54545,1.09677,1.12903,1.06667
120P05081,1.15385,1.07692,1.07692,1.08333
120P05082,1.125,1,1.125,1
120P05083,1.06667,1.06667,1.13333,1.07143
120P05084,1.11111,1,1,1.125
120P05085,1.25,1.25,1.25,1.25
120P05086,1.68421,1.11111,1.21053,1.11765
120P05087,2.375,1.18519,2.78049,1.11538
120P05088,1.7027,1.13793,1.6,1.14286
120P05089,1.5,1.09524,1.08696,1.09524
120P05090,1.15,1,1.05556,1.05882
120P05091,1.16667,1.06522,1.06383,1.06522
120P05092,1.5,1,1,1
120P05093,1.88889,1.05882,1.05556,1.11765
120P05094,2.09091,1.05,1.14286,1.1
120P05095,1.58333,1,1.90909,1.09091
120P05096,1.6,1.08,3.15152,1.16
120P05097,1.47826,1.10526,1.61111,1.26316
120P05098,1.375,1.16667,1.19355,1.46429
120P05101,2.1,1.07692,1.07692,1.15385
120P05104,1.33333,1.5,1,1
120P05107,1.22222,1.29412,1.27273,1.28125
120P05108,1.05714,1.08824,1.05882,1.125
120P05109,1.09091,1.09091,1.09091,1.2
120P05110,1.08571,1.08571,1.08571,1.09091
120P05111,1.11429,1.05714,1.05714,1.06061
120P05112,1.09677,1.06452,1.06452,1.06897
120P05113,1.16667,1.11111,1.05882,1.05882
120P05114,1.65116,1.87805,1.10256,1.15789
120P05115,1.66495,1.81111,1.08176,1.94268
120P05117,1.09091,1.13636,1.09524,1.15
120P05118,1.0625,1.0625,1.06667,1.07143
120P05120,1,1.2,2.54545,1.25
120P05121,1.08,1.11538,1.96703,1.08
120P05122,1.125,1.11111,1.61111,1.11111
120P05123,1.07895,1.79487,1.67391,1.15385
120P05124,1.10714,1.48387,1.65079,1.23333
120P05126,1.08333,1.08333,1.03846,1.08333
120P05127,1.09091,1.09091,1.08333,1.09091
120P05129,1.125,1.125,1.11765,1.0625
120P05130,1.11111,1.11111,1.11111,1.11111
120P05131,1.04348,1.08696,1.08333,1.08696
120P05132,1.13333,1.0625,1.125,1.13333
120P05133,1.08696,1.08696,1.12,1.04348
120P05134,1,1,1.2,1
120P05135,1.16667,1.16667,1.14286,1.16667
120P05136,1.09524,1.09524,1.45455,1.04762
120P05137,1.075,1.075,1.11628,1.075
120P05138,1.1,1,1.18182,1.1
120P05139,1.20833,1.16667,1.25806,1.25
120P05140,1.33333,1.16667,1.28571,1.16667
120P05141,1.26667,1.13333,1.25,1.14286
120P05142,1.0625,1.0625,1.13333,1.14286
120P05143,1.08824,1.09091,1.09375,1.06667
120P05144,1.625,1.43478,1.31818,1.1
120P05146,1.15152,1.12121,1.11765,1.12121
120P05147,1.09091,1.09091,1.08333,1.09091
120P05148,1.125,1.125,1,1.125
120P05149,1.07143,1.07143,1.10345,1.07143
120P05150,1.18182,1.13636,1.16667,1.09524
120P05151,1.5,1.375,1.77778,1.28571
120P05152,1.96667,2.39286,1.42857,2.33333
120P05153,1.63415,1.83333,1.33588,2.36735
120P05154,1.32331,1.48889,1.24299,1.74545
120P05155,1.2,1.27586,1.15957,1.48333
120P05156,1.15152,1.2,1.09375,1.63158
120P05157,1,1,1,2
120P05158,1.1,1.1,1.11111,1.11111
120P05159,1.05,1.05,1.05,1.11111
120P05160,1.06061,1.06061,1.0303,1.06667
120P05161,1.06061,1.06061,1.0303,1.06667
120P05162,1.06061,1.06061,1.0303,1.1
120P05163,1.05357,1.07273,1.05455,1.05882
120P05164,1.20755,1.16981,1.19231,1.10638
120P05165,1.2,1.13793,1.23333,1.07407
120P05166,1.4375,1.06667,1.8,1.07143
120P05167,1.26923,1.23077,1.75862,1.08696
120P05168,1.49057,1.53704,1.88158,1.125
120P05169,3.2549,3.02381,2.22034,2.44444
120P05170,1.875,3.975,1.4,2.14706
120P05171,2.06122,3.89744,1.42553,2.11765
120P05172,1.72727,2.80952,1.21053,1.83333
120P05175,1.07407,1.07692,1.07692,1.125
120P05176,1.07407,1.07692,1.03846,1.08333
120P05177,1.1,1.10417,1.08,1.08696
120P05179,1.20588,1.12121,1.75,1.125
120P05180,2.13115,1.10526,1.94118,1.23214
120P05181,2.85,1.11111,1.72727,1.41176
120P05182,2.74242,1.12121,1.23684,1.15625
120P05183,1.96296,1.125,1.5,1.13043
120P05184,2,1.22222,1.63636,1.11111
120P05185,1.85714,1.09091,2.35714,1.14286
120P05186,1.34,1.26316,1.38596,1.33333
120P05187,1.25641,1.10256,1.10256,1.13158
120P05188,1.30233,1.25581,1.22727,1.2619
120P05190,1.45588,1.80392,1.74713,1.60494
120P05191,1.54167,1.71429,1.65217,1.66667
120P05192,1.72727,1.37037,1.40741,1.32
120P05193,1.80952,2.21429,1.42857,1.42857
120P05194,1.11111,1.25,1.11111,1.125
