Bin,120P04340,,120N05397,,120+14882,,120-07060,,
188,190,0.0051442418,257,0.0049330109,34,0.0048970186,243,0.0053587968,Mon 11:00 PM
189,167,0.0045215178,219,0.0042036163,29,0.0041768688,209,0.0046090063,Mon 11:15 PM
190,147,0.0039800187,181,0.0034742217,24,0.003456719,181,0.0039915318,Mon 11:30 PM
191,128,0.0034655945,153,0.002936773,20,0.0028805992,162,0.0035725312,Mon 11:45 PM
192,112,0.0030323952,131,0.0025144919,17,0.0024485093,138,0.0030432673,Tue 12:00 AM
193,97,0.0026262708,115,0.0022073784,15,0.0021604494,124,0.0027345301,Tue 12:15 AM
194,85,0.0023013713,98,0.0018810703,13,0.0018723895,114,0.0025140034,Tue 12:30 AM
195,74,0.0020035468,88,0.0016891243,12,0.0017283595,100,0.0022052662,Tue 12:45 AM
196,66,0.0017869472,77,0.0014779838,10,0.0014402996,90,0.0019847396,Tue 01:00 AM
197,58,0.0015703475,71,0.0013628162,9,0.0012962696,86,0.0018965289,Tue 01:15 AM
198,54,0.0014620477,60,0.0011516757,8,0.0011522397,86,0.0018965289,Tue 01:30 AM
199,50,0.0013537479,55,0.0010557027,7,0.0010082097,81,0.0017862656,Tue 01:45 AM
200,50,0.0013537479,49,0.0009405351,7,0.0010082097,76,0.0016760023,Tue 02:00 AM
201,47,0.001272523,44,0.0008445622,6,0.0008641797,71,0.001565739,Tue 02:15 AM
202,47,0.001272523,44,0.0008445622,6,0.0008641797,67,0.0014775283,Tue 02:30 AM
203,43,0.0011642232,38,0.0007293946,5,0.0007201498,62,0.001367265,Tue 02:45 AM
204,43,0.0011642232,38,0.0007293946,5,0.0007201498,57,0.0012570017,Tue 03:00 AM
205,47,0.001272523,38,0.0007293946,5,0.0007201498,62,0.001367265,Tue 03:15 AM
206,50,0.0013537479,44,0.0008445622,6,0.0008641797,67,0.0014775283,Tue 03:30 AM
207,54,0.0014620477,44,0.0008445622,6,0.0008641797,71,0.001565739,Tue 03:45 AM
208,58,0.0015703475,49,0.0009405351,7,0.0010082097,76,0.0016760023,Tue 04:00 AM
209,70,0.001895247,60,0.0011516757,8,0.0011522397,95,0.0020950029,Tue 04:15 AM
210,85,0.0023013713,77,0.0014779838,10,0.0014402996,129,0.0028447934,Tue 04:30 AM
211,105,0.0028428705,93,0.0017850973,12,0.0017283595,167,0.0036827945,Tue 04:45 AM
212,132,0.0035738943,115,0.0022073784,15,0.0021604494,219,0.0048295329,Tue 05:00 AM
213,167,0.0045215178,148,0.0028408,20,0.0028805992,281,0.006196798,Tue 05:15 AM
214,213,0.0057669658,191,0.0036661676,26,0.0037447789,367,0.0080933269,Tue 05:30 AM
215,268,0.0072560885,252,0.0048370379,34,0.0048970186,500,0.0110263309,Tue 05:45 AM
216,341,0.0092325603,328,0.0062958271,44,0.0063373182,628,0.0138490716,Tue 06:00 AM
217,384,0.0103967835,383,0.0073515298,51,0.0073455279,671,0.014797336,Tue 06:15 AM
218,438,0.0118588312,449,0.0086183731,60,0.0086417975,714,0.0157456005,Tue 06:30 AM
219,496,0.0134291787,531,0.0101923298,71,0.010226127,762,0.0168041283,Tue 06:45 AM
220,562,0.0152161258,618,0.0118622596,82,0.0118104566,814,0.0179508667,Tue 07:00 AM
221,547,0.0148100015,624,0.0119774272,83,0.0119544865,800,0.0176421294,Tue 07:15 AM
222,531,0.0143768022,624,0.0119774272,83,0.0119544865,786,0.0173333921,Tue 07:30 AM
223,512,0.013862378,629,0.0120734001,84,0.0120985165,776,0.0171128655,Tue 07:45 AM
224,500,0.0135374785,635,0.0121885677,85,0.0122425464,762,0.0168041283,Tue 08:00 AM
225,481,0.0130230543,629,0.0120734001,84,0.0120985165,733,0.0161646011,Tue 08:15 AM
226,465,0.012589855,624,0.0119774272,83,0.0119544865,714,0.0157456005,Tue 08:30 AM
227,450,0.0121837307,624,0.0119774272,83,0.0119544865,695,0.0153265999,Tue 08:45 AM
228,434,0.0117505313,624,0.0119774272,83,0.0119544865,671,0.014797336,Tue 09:00 AM
229,438,0.0118588312,640,0.0122845407,85,0.0122425464,667,0.0147091254,Tue 09:15 AM
230,442,0.011967131,667,0.0128027947,89,0.0128186663,657,0.0144885988,Tue 09:30 AM
231,446,0.0120754308,673,0.0129179623,90,0.0129626962,657,0.0144885988,Tue 09:45 AM
232,454,0.0122920305,695,0.0133402434,93,0.0133947861,657,0.0144885988,Tue 10:00 AM
233,462,0.0125086301,722,0.0138584974,96,0.013826876,657,0.0144885988,Tue 10:15 AM
234,473,0.0128064547,755,0.0144919191,101,0.0145470258,657,0.0144885988,Tue 10:30 AM
235,485,0.0131313542,788,0.0151253407,105,0.0151231456,667,0.0147091254,Tue 10:45 AM
