bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
205,53.549,0.001,73.313,0.001,8.601,0.001,56.174,0.001,Tue 03:15 AM
206,63.093,0.002,86.223,0.002,9.725,0.001,63.516,0.001,Tue 03:30 AM
207,77.551,0.002,107.573,0.002,11.709,0.002,76.472,0.002,Tue 03:45 AM
208,98.625,0.003,141.713,0.003,14.969,0.002,97.764,0.002,Tue 04:00 AM
209,124.751,0.003,188.419,0.004,19.195,0.003,125.366,0.003,Tue 04:15 AM
210,156.540,0.004,245.173,0.005,24.459,0.004,159.747,0.004,Tue 04:30 AM
211,196.078,0.005,309.897,0.006,31.126,0.004,203.290,0.004,Tue 04:45 AM
212,246.579,0.007,382.297,0.007,39.720,0.006,259.421,0.006,Tue 05:00 AM
213,313.926,0.008,469.635,0.009,51.089,0.007,333.674,0.007,Tue 05:15 AM
214,389.716,0.011,564.255,0.011,63.984,0.009,417.892,0.009,Tue 05:30 AM
215,460.453,0.012,651.971,0.013,76.425,0.011,499.145,0.011,Tue 05:45 AM
216,514.712,0.014,720.897,0.014,86.821,0.013,567.046,0.013,Tue 06:00 AM
217,556.673,0.015,775.895,0.015,96.164,0.014,628.067,0.014,Tue 06:15 AM
218,589.067,0.016,819.258,0.016,104.393,0.015,681.813,0.015,Tue 06:30 AM
219,610.308,0.017,848.305,0.016,110.473,0.016,721.522,0.016,Tue 06:45 AM
220,618.049,0.017,859.443,0.016,113.321,0.016,740.120,0.016,Tue 07:00 AM
221,608.373,0.016,847.583,0.016,112.297,0.016,733.431,0.016,Tue 07:15 AM
222,587.008,0.016,820.494,0.016,108.779,0.016,710.457,0.016,Tue 07:30 AM
223,563.057,0.015,790.342,0.015,104.665,0.015,683.589,0.015,Tue 07:45 AM
224,544.077,0.015,767.115,0.015,101.498,0.015,662.901,0.015,Tue 08:00 AM
225,526.463,0.014,745.732,0.014,98.426,0.014,642.837,0.014,Tue 08:15 AM
226,509.306,0.014,725.328,0.014,95.388,0.014,622.996,0.014,Tue 08:30 AM
227,495.333,0.013,710.148,0.014,93.168,0.013,608.498,0.013,Tue 08:45 AM
228,487.042,0.013,704.218,0.014,92.503,0.013,604.156,0.013,Tue 09:00 AM
229,484.544,0.013,708.244,0.014,93.497,0.013,610.645,0.013,Tue 09:15 AM
