bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
226,485.053,0.013,690.788,0.013,90.846,0.013,593.330,0.013,Tue 08:30 AM
227,471.746,0.013,676.331,0.013,88.732,0.013,579.522,0.013,Tue 08:45 AM
228,463.849,0.013,670.684,0.013,88.098,0.013,575.386,0.013,Tue 09:00 AM
229,461.471,0.012,674.518,0.013,89.045,0.013,581.567,0.013,Tue 09:15 AM
230,462.978,0.013,684.682,0.013,91.017,0.013,594.450,0.013,Tue 09:30 AM
231,466.786,0.013,697.540,0.013,93.417,0.013,610.121,0.013,Tue 09:45 AM
232,471.735,0.013,710.231,0.014,95.769,0.014,625.485,0.014,Tue 10:00 AM
233,479.173,0.013,724.657,0.014,98.410,0.014,642.734,0.014,Tue 10:15 AM
234,488.381,0.013,740.578,0.014,101.278,0.015,661.467,0.015,Tue 10:30 AM
235,497.367,0.013,755.895,0.015,103.983,0.015,679.129,0.015,Tue 10:45 AM
236,504.326,0.014,768.769,0.015,106.195,0.015,693.581,0.015,Tue 11:00 AM
237,509.323,0.014,779.574,0.015,108.032,0.016,705.575,0.016,Tue 11:15 AM
238,513.441,0.014,789.066,0.015,109.577,0.016,715.664,0.016,Tue 11:30 AM
239,517.596,0.014,797.579,0.015,110.788,0.016,723.577,0.016,Tue 11:45 AM
240,522.394,0.014,805.164,0.015,111.571,0.016,728.688,0.016,Tue 12:00 PM
241,526.682,0.014,810.687,0.016,111.657,0.016,729.250,0.016,Tue 12:15 PM
242,531.325,0.014,815.339,0.016,111.397,0.016,727.554,0.016,Tue 12:30 PM
243,538.243,0.015,821.315,0.016,111.374,0.016,727.404,0.016,Tue 12:45 PM
244,549.338,0.015,830.645,0.016,112.104,0.016,732.175,0.016,Tue 01:00 PM
245,565.253,0.015,843.441,0.016,113.501,0.016,741.294,0.016,Tue 01:15 PM
246,584.090,0.016,858.294,0.016,115.329,0.017,753.238,0.017,Tue 01:30 PM
247,603.451,0.016,873.798,0.017,117.461,0.017,767.159,0.017,Tue 01:45 PM
248,621.486,0.017,889.026,0.017,119.824,0.017,782.590,0.017,Tue 02:00 PM
249,639.646,0.017,905.588,0.017,122.627,0.018,800.901,0.018,Tue 02:15 PM
250,657.541,0.018,922.327,0.018,125.691,0.018,820.908,0.018,Tue 02:30 PM
251,673.386,0.018,936.633,0.018,128.639,0.019,840.166,0.019,Tue 02:45 PM
252,685.785,0.019,946.397,0.018,131.232,0.019,857.103,0.019,Tue 03:00 PM
253,695.901,0.019,952.904,0.018,133.935,0.019,874.752,0.019,Tue 03:15 PM
254,703.355,0.019,956.102,0.018,136.395,0.020,890.822,0.020,Tue 03:30 PM
255,706.701,0.019,954.680,0.018,137.843,0.020,900.277,0.020,Tue 03:45 PM
256,704.703,0.019,947.548,0.018,137.591,0.020,898.631,0.020,Tue 04:00 PM
257,697.789,0.019,935.201,0.018,135.729,0.020,886.469,0.020,Tue 04:15 PM
258,686.276,0.019,917.784,0.018,132.596,0.019,866.009,0.019,Tue 04:30 PM
259,670.032,0.018,894.992,0.017,128.411,0.018,838.679,0.018,Tue 04:45 PM
260,648.603,0.018,865.942,0.017,123.249,0.018,804.964,0.018,Tue 05:00 PM
261,620.437,0.017,828.087,0.016,116.537,0.017,761.124,0.017,Tue 05:15 PM
262,587.502,0.016,784.742,0.015,108.845,0.016,710.889,0.016,Tue 05:30 PM
263,553.102,0.015,741.464,0.014,101.263,0.015,661.367,0.015,Tue 05:45 PM
264,519.742,0.014,703.052,0.013,94.723,0.014,618.651,0.014,Tue 06:00 PM
265,485.005,0.013,668.110,0.013,88.941,0.013,580.891,0.013,Tue 06:15 PM
266,449.914,0.012,635.095,0.012,83.631,0.012,546.211,0.012,Tue 06:30 PM
